IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262622, W: -0.7228, X: -0.4212, Y: -0.3401, Z: 0.4296
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262622, W: 0.4346, X: -0.2611, Y: 0.6711, Z: 0.5408
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262622, W: 0.5989, X: -0.3944, Y: 0.6158, Z: 0.3263
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262622, W: -0.3087, X: -0.3384, Y: -0.6133, Z: 0.6435
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262622, W: 0.7534, X: 0.3395, Y: 0.5631, Z: -0.0099
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262622, W: 0.7003, X: 0.0128, Y: 0.6270, Z: -0.3410
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262622, W: 0.7562, X: 0.2870, Y: 0.5810, Z: -0.0908
IMU: 0, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262729, W: 0.5721, X: -0.3198, Y: 0.5569, Z: 0.5101
IMU: 1, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262729, W: 0.6949, X: -0.2382, Y: 0.5480, Z: 0.4000
IMU: 2, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262729, W: -0.5848, X: -0.2897, Y: -0.5521, Z: 0.5189
IMU: 3, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262729, W: -0.7230, X: -0.4199, Y: -0.3429, Z: 0.4283
IMU: 4, Sys: 0, Gyro: 0, Acc: 1, Mag: 3, Time: 262729, W: 0.4337, X: -0.2615, Y: 0.6719, Z: 0.5404
IMU: 5, Sys: 3, Gyro: 3, Acc: 0, Mag: 3, Time: 262729, W: 0.5981, X: -0.3952, Y: 0.6161, Z: 0.3264
IMU: 6, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262729, W: -0.3096, X: -0.3345, Y: -0.6143, Z: 0.6441
IMU: 7, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262729, W: 0.7543, X: 0.3370, Y: 0.5633, Z: -0.0085
IMU: 8, Sys: 3, Gyro: 0, Acc: 0, Mag: 3, Time: 262729, W: 0.7024, X: 0.0092, Y: 0.6268, Z: -0.3372
IMU: 9, Sys: 3, Gyro: 0, Acc: 1, Mag: 3, Time: 262729, W: 0.7567, X: 0.2841, Y: 0.5823, Z: -0.0876
